date,open,high,close,low,volume,p_change
2020-02-13,5.39,5.41,5.36,5.32,1265101.25,-0.92
2020-02-14,5.33,5.39,5.36,5.33,913628.88,0.0
2020-02-17,5.37,5.55,5.54,5.36,1989007.75,3.36
2020-02-18,5.51,5.59,5.53,5.48,1382652.12,-0.18
2020-02-19,5.53,5.56,5.49,5.48,1337092.25,-0.72
2020-02-20,5.5,5.6,5.58,5.44,1847273.38,1.64
2020-02-21,5.58,5.69,5.63,5.57,1811201.5,0.9
2020-02-24,5.65,5.95,5.9,5.65,3274317.5,4.8
2020-02-25,5.78,5.88,5.8,5.6,2899718.0,-1.7
2020-02-26,5.69,6.16,5.89,5.67,4558881.0,1.55
2020-02-27,5.93,5.96,5.75,5.73,2686587.5,-2.38
2020-02-28,5.58,5.64,5.48,5.45,2658422.0,-4.7
2020-03-02,5.53,5.75,5.7,5.5,2212516.0,4.01
2020-03-03,5.8,5.85,5.71,5.66,2482051.5,0.17
2020-03-04,5.66,5.71,5.68,5.59,1314616.5,-0.53
2020-03-05,5.81,5.94,5.83,5.77,3133865.0,2.64
2020-03-06,5.75,5.79,5.72,5.7,1739444.25,-1.89
2020-03-09,5.64,5.82,5.64,5.61,2254111.25,-1.4
2020-03-10,5.58,5.78,5.77,5.51,2432712.5,2.31
2020-03-11,5.75,5.85,5.67,5.66,2054524.38,-1.73
2020-03-12,5.59,5.64,5.57,5.52,1680394.88,-1.76
2020-03-13,5.33,5.57,5.48,5.3,1788452.75,-1.62
2020-03-16,5.51,5.52,5.31,5.28,1475347.0,-3.1
2020-03-17,5.33,5.43,5.33,5.17,1397117.38,0.38
2020-03-18,5.34,5.39,5.2,5.18,1209161.5,-2.44
2020-03-19,5.16,5.24,5.19,5.05,1510147.75,-0.19
2020-03-20,5.25,5.33,5.29,5.16,1688675.88,1.93
2020-03-23,5.16,5.28,5.15,5.14,1057808.12,-2.65
2020-03-24,5.24,5.41,5.31,5.21,1703108.62,3.11
2020-03-25,5.39,5.46,5.36,5.33,1397034.5,0.94
2020-03-26,5.31,5.33,5.28,5.27,723398.56,-1.49
2020-03-27,5.34,5.36,5.26,5.26,772933.0,-0.38
2020-03-30,5.2,5.27,5.27,5.15,914155.94,0.19
2020-03-31,5.3,5.32,5.22,5.21,598614.38,-0.95
2020-04-01,5.2,5.26,5.2,5.16,693043.94,-0.38
2020-04-02,5.17,5.26,5.25,5.16,748842.31,0.96
2020-04-03,5.24,5.31,5.26,5.21,833399.5,0.19
2020-04-07,5.35,5.41,5.4,5.3,1900112.75,2.66
2020-04-08,5.35,5.39,5.34,5.32,1260734.5,-1.11
2020-04-09,5.43,5.6,5.52,5.41,3384797.75,3.37
2020-04-10,5.49,5.5,5.38,5.36,1744269.12,-2.54
2020-04-13,5.35,5.44,5.36,5.33,773940.0,-0.37
2020-04-14,5.38,5.42,5.41,5.34,1031623.25,0.93
2020-04-15,5.38,5.39,5.32,5.29,1066533.0,-1.66
2020-04-16,5.27,5.32,5.29,5.27,675291.38,-0.56
2020-04-17,5.31,5.33,5.29,5.28,1135944.12,0.0
2020-04-20,5.3,5.33,5.32,5.27,905892.0,0.57
2020-04-21,5.3,5.3,5.28,5.25,750485.56,-0.75
2020-04-22,5.25,5.29,5.29,5.24,699284.62,0.19
2020-04-23,5.29,5.29,5.24,5.22,690645.94,-0.94
2020-04-24,5.24,5.26,5.18,5.16,752078.0,-1.15
2020-04-27,5.17,5.21,5.18,5.15,674976.0,0.0
2020-04-28,5.19,5.2,5.12,5.06,834671.44,-1.16
2020-04-29,5.12,5.15,5.14,5.1,494752.12,0.39
2020-04-30,5.15,5.25,5.22,5.15,1193451.62,1.56
2020-05-06,5.16,5.26,5.25,5.15,1062362.88,0.57
2020-05-07,5.25,5.32,5.21,5.2,932406.5,-0.76
2020-05-08,5.23,5.27,5.24,5.22,706124.0,0.58
2020-05-11,5.27,5.29,5.23,5.22,707948.62,-0.19
2020-05-12,5.23,5.24,5.2,5.16,584792.19,-0.57
2020-05-13,5.17,5.19,5.17,5.14,658105.88,-0.58
2020-05-14,5.15,5.16,5.13,5.13,591418.12,-0.77
2020-05-15,5.14,5.16,5.13,5.12,543999.38,0.0
2020-05-18,5.12,5.22,5.16,5.11,858954.0,0.58
2020-05-19,5.2,5.21,5.15,5.14,635687.5,-0.19
2020-05-20,5.16,5.16,5.12,5.11,586223.25,-0.58
2020-05-21,5.13,5.15,5.12,5.1,554496.62,0.0
2020-05-22,5.1,5.11,5.06,5.03,749649.0,-1.17
2020-05-25,5.06,5.06,5.03,5.0,565148.94,-0.59
2020-05-26,5.04,5.06,5.03,4.98,997849.75,0.0
2020-05-27,5.02,5.02,4.99,4.97,565144.88,-0.8
2020-05-28,4.98,5.02,4.98,4.96,595007.12,-0.2
2020-05-29,4.96,4.98,4.96,4.96,778890.81,-0.4
2020-06-01,4.97,5.05,5.04,4.97,954821.69,1.61
2020-06-02,5.04,5.12,5.09,5.02,1079980.0,0.99
2020-06-03,5.1,5.12,5.05,5.05,651872.62,-0.79
2020-06-04,5.08,5.08,5.04,5.03,440547.41,-0.2
2020-06-05,5.05,5.05,5.04,5.01,473797.19,0.0
2020-06-08,5.07,5.08,5.05,5.03,761573.38,0.2
2020-06-09,5.04,5.06,5.05,5.02,686432.81,0.0
2020-06-10,5.05,5.05,5.0,4.98,862370.19,-0.99
2020-06-11,5.0,5.02,4.97,4.96,919117.88,-0.6
2020-06-12,4.9,4.94,4.92,4.88,1484768.25,-1.01
2020-06-15,4.89,4.94,4.86,4.85,1103217.12,-1.22
2020-06-16,4.89,4.91,4.91,4.88,789425.81,1.03
2020-06-17,4.9,4.91,4.88,4.88,730565.44,-0.61
2020-06-18,4.88,4.94,4.9,4.83,1147801.38,0.41
2020-06-19,4.9,4.94,4.92,4.88,1137328.12,0.41
2020-06-22,4.91,5.02,5.0,4.9,1441277.25,1.63
2020-06-23,5.0,5.01,4.96,4.95,801192.88,-0.8
2020-06-24,4.92,4.92,4.87,4.83,941080.62,-0.61
2020-06-29,4.85,4.86,4.83,4.82,632150.38,-0.82
2020-06-30,4.85,4.86,4.84,4.82,626092.62,0.21
2020-07-01,4.84,4.9,4.9,4.82,1069270.5,1.24
2020-07-02,4.88,5.02,5.01,4.88,1888297.12,2.25
2020-07-03,5.02,5.12,5.08,5.02,2163280.25,1.4
2020-07-06,5.15,5.39,5.37,5.15,3889915.0,5.71
2020-07-07,5.44,5.49,5.28,5.28,3543492.25,-1.68
2020-07-08,5.28,5.38,5.35,5.25,2638663.0,1.33
2020-07-09,5.34,5.38,5.36,5.29,3322837.0,0.19
2020-07-10,5.33,5.35,5.19,5.17,3245178.5,-3.17
